16384 16384 
1	12.102896
2	6.089265
3	4.121609
4	3.098624
5	2.529424
6	2.130836
7	1.864526
8	1.804678
9	1.811711
10	1.728589
11	1.636019
12	1.504283
13	1.457282
14	1.414999
15	1.366332
16	1.304326

8192 8192
1	3.038188
2	1.545027
3	1.046585
4	0.801737
5	0.650477
6	0.535785
7	0.476589
8	0.451181
9	0.465795
10	0.442913
11  	0.433772
12	0.383792
13	0.382257
14	0.379713
15	0.364577
16	0.335768

4096 4096
1	1.072778
2	0.552574
3	0.381889
4	0.282742
5	0.238645
6	0.206605
7	0.175280
8	0.164770
9	0.175984
10	0.163036
11	0.149462
12	0.148038
13	0.143219
14	0.142564
15	0.133245
16	0.127771
