16384 16384 
1	1
2	1.99
3	2.93
4	3.91
5	4.8
6	5.68
7	6.5
8	6.7
9	6.68
10	7.03
11	7.42
12	8.06
13	8.34
14	8.58
15	8.89
16	9.30

8192 8192
1	1
2	1.97
3	2.92
4	3.79
5	4.67
6	5.73
7	6.46
8	6.75
9	6.53
10	6.90
11  	7.06
12	7.99
13	7.99
14	8.21
15	8.43
16	9.20

4096 4096
1	1
2	1.95
3	2.82
4	3.83
5	4.66
6	5.36
7	6.31
8	6.70
9	6.31
10	6.70
11	7.66
12	7.66
13	7.66
14	7.66
15	8.25
16	8.93
